[0818/010005:ERROR:process_info.cc(330)] VirtualQueryEx: Access is denied. (0x5)
[0818/010005:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0818/010005:ERROR:process_info.cc(608)] range at 0xa249583000, size 0x354 fully unreadable
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff07e60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\USP10.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14c30000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\MSASN1.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15400000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\CRYPT32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff156d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\WINTRUST.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff11000000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\Secur32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14830000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\SSPICLI.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7ffece7c0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\52.0.2743.116\chrome_child.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0b340000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\dwrite.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff186d5340 of 6656 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7ff6ae8a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18590000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\ntdll.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15730000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\KERNELBASE.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff181e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\KERNEL32.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15db0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\msvcrt.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15990000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\RPCRT4.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff173b0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\sechost.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17950000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\ADVAPI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff155d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\bcryptPrimitives.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14650000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\CRYPTBASE.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff07e80000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\52.0.2743.116\chrome_elf.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff10f50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\VERSION.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15920000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\cfgmgr32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff13080000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINMMBASE.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17a10000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\GDI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18430000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\USER32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17910000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\IMM32.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff131a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINMM.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14c00000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\profapi.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14310000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\USERENV.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff129a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WTSAPI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff11100000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINHTTP.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17f60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\combase.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18360000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\shlwapi.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14c20000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\kernel.appcore.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14cf0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\shcore.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14bb0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\powrprof.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14db0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\windows.storage.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15e50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\SHELL32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17a00000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\PSAPI.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14af0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\bcrypt.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0fc50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINSPOOL.DRV
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0d4d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.10586.494_none_a2d8b04ea53e3145\COMCTL32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15640000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\FirewallAPI.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff13930000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\fwbase.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15970000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\NETAPI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0d2f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\DAVHLPR.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17ba0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\COMDLG32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17e10000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\ole32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18290000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\OLEAUT32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff10f60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff178a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\WS2_32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff07e60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\USP10.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14c30000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\MSASN1.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15400000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\CRYPT32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff156d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\WINTRUST.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff11000000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\Secur32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14830000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\SSPICLI.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7ffece7c0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\52.0.2743.116\chrome_child.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0b340000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\dwrite.dll
[0818/010005:ERROR:process_reader_win.cc(99)] process 8940 not found
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7ff6ae8a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18590000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\ntdll.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15730000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\KERNELBASE.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff181e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\KERNEL32.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15db0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\msvcrt.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15990000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\RPCRT4.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff173b0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\sechost.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17950000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\ADVAPI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff155d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\bcryptPrimitives.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14650000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\CRYPTBASE.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff07e80000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\52.0.2743.116\chrome_elf.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff10f50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\VERSION.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15920000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\cfgmgr32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff13080000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINMMBASE.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17a10000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\GDI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18430000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\USER32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17910000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\IMM32.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff131a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINMM.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14c00000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\profapi.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14310000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\USERENV.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff129a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WTSAPI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff11100000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINHTTP.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17f60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\combase.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18360000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\shlwapi.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14c20000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\kernel.appcore.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14cf0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\shcore.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14bb0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\powrprof.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14db0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\windows.storage.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15e50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\SHELL32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17a00000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\PSAPI.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14af0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\bcrypt.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0fc50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\WINSPOOL.DRV
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0d4d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.10586.494_none_a2d8b04ea53e3145\COMCTL32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15640000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\FirewallAPI.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff13930000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
